symbol,side,filled_qty,filled_avg_price,timestamp,type,total_value,realized_pnl,cost_of_sold_shares,cumulative_pnl
CRWD,buy,1.0,378.18,2024-06-11 14:44:41.421070+00:00,FILL,378.18,0.0,0.0,422.51491333606305
LTC/USD,buy,0.477,77.0,2024-06-11 15:25:05.399125+00:00,FILL,36.729,0.0,0.0,422.51491333606305
ETH/USD,buy,0.001392,3417.0,2024-06-11 15:38:32.589503+00:00,FILL,4.756464,0.0,0.0,422.51491333606305
ETH/USD,buy,0.1123185,3417.0,2024-06-11 15:41:05.329892+00:00,FILL,383.79231450000003,0.0,0.0,422.51491333606305
NFLX,sell,1.0,647.21,2024-06-11 18:30:16.437271+00:00,FILL,647.21,5.477999999999952,641.7320000000001,427.992913336063
ADSK,sell,1.0,212.0,2024-06-11 19:55:15.702705+00:00,FILL,212.0,0.7549999999999955,211.245,428.747913336063
LTC/USD,sell,0.4764276,77.221499999,2024-06-11 22:32:33.879340+00:00,FILL,36.790453912923574,0.03296632702358599,36.75748758589999,428.7808796630866
ETH/USD,sell,0.113574046,3506.72,2024-06-11 23:07:01.730254+00:00,FILL,398.27237858911997,7.310077293762961,390.962301295357,436.09095695684954
ADSK,sell_short,1.0,219.17,2024-06-12 13:48:07.701103+00:00,FILL,219.17,0.0,0.0,436.09095695684954
GOOG,buy,1.0,177.98,2024-06-12 16:04:46.211926+00:00,FILL,177.98,0.0,0.0,436.09095695684954
GOOG,sell,1.0,179.08,2024-06-12 19:44:24.797806+00:00,FILL,179.08,1.1000000000000227,177.98,437.19095695684956
LTC/USD,buy,49.098,77.0,2024-06-14 16:08:31.350488+00:00,FILL,3780.546,0.0,0.0,437.19095695684956
LTC/USD,buy,48.63,77.0,2024-06-14 16:08:31.551199+00:00,FILL,3744.51,0.0,0.0,437.19095695684956
LTC/USD,buy,48.4447,77.0,2024-06-14 16:08:31.625143+00:00,FILL,3730.2419,0.0,0.0,437.19095695684956
LTC/USD,buy,27.4073,77.0,2024-06-14 16:08:31.657114+00:00,FILL,2110.3621,0.0,0.0,437.19095695684956
ETH/USD,buy,0.378,3396.0,2024-06-14 16:29:53.281656+00:00,FILL,1283.688,0.0,0.0,437.19095695684956
ETH/USD,sell,0.014,3512.482,2024-06-21 04:46:20.622357+00:00,FILL,49.174748,1.6070932481247582,47.567654751875246,438.79805020497434
ETH/USD,sell,0.3635464,3511.149,2024-06-21 04:46:20.622363+00:00,FILL,1276.4655788136,41.24774727880444,1235.2178315347956,480.04579748377876
LTC/USD,sell,48.6379,74.21,2024-06-21 04:54:10.238071+00:00,FILL,3609.4185589999997,-135.7070939391099,3745.12565293911,344.3387035446689
LTC/USD,sell,96.8329,73.9721,2024-06-21 04:54:10.238079+00:00,FILL,7162.93296209,-293.21497683185964,7456.147938921859,51.12372671280923
LTC/USD,sell,27.900904,73.535,2024-06-21 04:54:10.238082+00:00,FILL,2051.69297564,-96.68085033915247,2148.3738259791526,-45.55712362634324
BTC/USD,buy,0.1,64655.5,2024-06-21 04:57:58.519487+00:00,FILL,6465.55,0.0,0.0,-45.55712362634324
BTC/USD,sell,0.1007785,64599.489,2024-06-21 04:58:28.309537+00:00,FILL,6510.2396021865,-5.60109999999986,6465.55,-51.1582236263431
BTC/USD,buy,0.1,64679.16,2024-06-21 05:03:43.821727+00:00,FILL,6467.916000000001,0.0,0.0,-51.1582236263431
BTC/USD,sell,0.09978,64514.326,2024-06-21 05:07:24.028233+00:00,FILL,6437.23944828,-16.44713652000098,6453.686584800001,-67.60536014634408
BTC/USD,buy,0.1,64568.7,2024-06-21 05:10:25.401996+00:00,FILL,6456.87,0.0,0.0,-67.60536014634408
BTC/USD,sell,0.09978,64501.0,2024-06-21 05:10:41.249099+00:00,FILL,6435.90978,-6.779300509438179,6442.689080509438,-74.38466065578226
ETH/USD,buy,1.0,2620.7,2024-10-29 08:55:58.869335+00:00,FILL,2620.7,0.0,0.0,-74.38466065578226
ADSK,buy,1.0,286.5,2024-10-29 13:30:07.002246+00:00,FILL,286.5,0.0,0.0,-74.38466065578226
GOOG,sell_short,101.0,197.71,2024-12-18 14:30:12.497139+00:00,FILL,19968.71,0.0,0.0,-74.38466065578226
MSFT,buy,67.0,441.39,2024-12-19 14:30:20.159467+00:00,FILL,29573.129999999997,0.0,0.0,-74.38466065578226
TSLA,sell_short,62.0,451.17,2024-12-19 14:30:23.627416+00:00,FILL,27972.54,0.0,0.0,-74.38466065578226
TSLA,sell_short,2.0,451.69,2024-12-19 14:30:25.995843+00:00,FILL,903.38,0.0,0.0,-74.38466065578226
TSLA,sell_short,1.0,451.57,2024-12-19 14:30:30.277556+00:00,FILL,451.57,0.0,0.0,-74.38466065578226
TSLA,sell_short,1.0,451.22,2024-12-19 14:30:31.533051+00:00,FILL,451.22,0.0,0.0,-74.38466065578226
CRWD,buy,84.0,353.6,2024-12-19 15:02:34.043990+00:00,FILL,29702.4,0.0,0.0,-74.38466065578226
AAPL,buy,39.0,249.15,2024-12-19 15:05:31.850475+00:00,FILL,9716.85,0.0,0.0,-74.38466065578226
AAPL,buy,80.0,249.15,2024-12-19 15:05:32.195837+00:00,FILL,19932.0,0.0,0.0,-74.38466065578226
AAPL,buy,1.0,249.16,2024-12-19 15:06:19.429117+00:00,FILL,249.16,0.0,0.0,-74.38466065578226
GOOG,buy,93.0,192.32,2024-12-19 15:15:47.210328+00:00,FILL,17885.76,0.0,0.0,-74.38466065578226
GOOG,buy,3.0,192.32,2024-12-19 15:15:47.478114+00:00,FILL,576.96,0.0,0.0,-74.38466065578226
GOOG,buy,5.0,192.32,2024-12-19 15:16:42.102629+00:00,FILL,961.5999999999999,0.0,0.0,-74.38466065578226
